,Unnamed: 0,Shape,Mu Max,Coordinates,Johnson Suffix
19,16,Elongated Pentagonal Cupola (J20),1.04201660597977,"[-2.7848845400158273e-06, -2.1625830783939322e-06, 4.712388980383875, 5.969026041820258, -3.4952209717545424, 2.958647597545575, 6.021917755552354]", (J20)
20,25,Elongated Pentagonal Rotunda (J21),1.00729758598196,"[0.0, 0.0, 3.141592653589692, 3.1415926535897953, 2.632412831615613, 5.882209255013597, 0.35470519494420344]", (J21)
21,49,Gyroelongated Triangular Cupola (J22),1.00107812563048,"[-0.018260685537226665, -0.20660392080335638, 3.5188811224529855, 0.046422846372829056, -3.1415926535898, 1.020298412135764, 3.1407177635319603]", (J22)
22,45,Gyroelongated Square Cupola (J23),1.0003036953449087,"[-0.06558302980925722, 0.04686417900139994, 1.5734698804405816, 2.7227795374412356, 0.954592231285643, 2.6522109377050147, 3.9917779505094697]", (J23)
23,40,Gyroelongated Pentagonal Cupola (J24),1.000434587898601,"[0.009786601116619295, 0.01670639774493627, 5.218830924513782, 6.328889080117818, 3.1419850580302007, 2.1580147320032212, 6.283461806741143]", (J24)
24,43,Gyroelongated Pentagonal Rotunda (J25),1.0000820399774848,"[-0.03809517788424439, -0.026861488012983693, 1.0630873862875365, 5.083963900784462, 2.646810612293894, 3.6559524981994125, 4.127104671958964]", (J25)
25,37,Gyrobifastigium (J26),1.04399405486102,"[0.06319597715675507, 0.1268463153906655, 3.1415926535899863, 3.6651914291873724, -4.317530822975296, 1.7342070583386107, 2.256703639384769]", (J26)
26,84,Triangular Orthobicupola (J27),1.0444842984007356,"[0.07854413309934495, 0.04669927284541722, 4.712362205469322, 5.497795348569833, 4.61918436424629, 3.926990539591058, 3.7570709666602755]", (J27)
27,79,Square Orthobicupola (J28),1.08239220029239,"[0.0, 0.0, 1.5707963267948961, 1.7316186708336592e-16, 5.36058343349821, 8.894875173908423, 2.2573122384473994]", (J28)
28,78,Square Gyrobicupola (J29),1.08239220029238,"[0.0, 0.0, 3.758630443110701, 1.5707963267948963, -3.7027402669925564, 3.1209604816787375, 3.15013867688463]", (J29)
29,68,Pentagonal Orthobicupola (J30),1.05146222423824,"[0.0, 0.0, 0.26924703168355696, 4.7123889803846915, -5.477327853849602, 3.7695867087630837, 5.87973955791062]", (J30)
30,66,Pentagonal Gyrobicupola (J31),1.05146222423824,"[0.0, 0.0, 5.918321479066108, 2.6179938779914864, 0.2727982441644281, 1.5387930823632305, 18.259599354195757]", (J31)
31,70,Pentagonal Orthocupolarotunda (J32),1.02260015093017,"[-3.502462377265314e-05, -0.16721429256206385, 0.36486382819027174, 0.5235987754765601, 0.4415183495275745, 4.711990483259872, 3.6950310614190065]", (J32)
32,67,Pentagonal Gyrocupolarotunda (J33),1.02260015083915,"[0.09833333015091072, -0.135244867636642, 5.265963339281928, 2.1991148575125044, -0.689111340259493, 4.713053219155735, 3.695030410702286]", (J33)
33,69,Pentagonal Orthobirotunda (J34),1.0006945275237518,"[-1.5534452263047563e-05, 4.604573005543816e-05, 6.171932114423803, 2.9281664600569073, 1.2402611312458975, 3.1415914978253605, 3.1415855762581373]", (J34)
34,33,Elongated Triangular Orthobicupola (J35),1.11480646995305,"[0.0, 0.0, 3.9269908169875745, 0.6154797086702489, 4.938853330391815, 5.177079957344794, 2.71832034168419]", (J35)
35,32,Elongated Triangular Gyrobicupola (J36),1.11551137245464,"[1.8809906664627122e-16, -1.1740079229782291e-16, 0.7853981633975134, 2.526112944919607, 0.43728687305799463, 0.8124311420149722, 0.9078781680749729]", (J36)
36,28,Elongated Square Gyrobicupola (J37),1.0132087344280605,"[-0.07171249678002058, 0.012779353002735146, 3.1415926535926992, 3.141592653584202, 3.723572892275387, 4.932843958137358, 1.908817598463248]", (J37)
37,21,Elongated Pentagonal Orthobicupola (J38),1.04201666822683,"[0.0, 0.0, 4.712388980384564, 3.455751918948825, 0.36784307107949665, 6.530225166005108, 6.019603347646517]", (J38)
38,18,Elongated Pentagonal Gyrobicupola (J39),1.04193094439047,"[-3.7539985023337497e-07, 2.2465349303212442e-07, 1.5707963267942031, 2.1991148575127752, 4.095370258976743, 6.078951243922601, 0.2469524274849561]", (J39)
39,23,Elongated Pentagonal Orthocupolarotunda (J40),1.00723971225922,"[0.0, 0.0, 6.283185307179317, 6.283185307179691, -0.5167870243698891, 2.76544989432045, 0.3265234549390553]", (J40)
40,20,Elongated Pentagonal Gyrocupolarotunda (J41),1.0072066682627,"[0.0, 0.0, 3.141592653590036, -3.0424264334532383e-13, 0.6272946687182109, 5.868673340737353, 6.507399454479049]", (J41)
41,22,Elongated Pentagonal Orthobirotunda (J42),1.04601108860788,"[0.0, 0.0, 3.1415926535895973, 6.2831853071795924, -1.5718110356311081, 4.701797190522068, 0.0038463482398342496]", (J42)
42,19,Elongated Pentagonal Gyrobirotunda (J43),1.04602285513067,"[0.0, 0.0, 18.84955592153874, 6.283185307179052, 10.932077395630072, -1.4395056566159758, 0.6353491658478337]", (J43)
43,48,Gyroelongated Triangular Bicupola (J44),1.0062952541085437,"[0.008143217034935327, -0.166130706703559, -0.014026721262681025, 3.099811810830334, -0.213288997400431, 4.761840652109235, 4.570864692647843]", (J44)
44,44,Gyroelongated Square Bicupola (J45),1.0000209863538494,"[-0.07766477118689157, 0.0004954142371098384, 4.715347932762748, 3.1328100288674987, 1.5761957777454052, 6.289738888570627, 5.322486664800416]", (J45)
45,38,Gyroelongated Pentagonal Bicupola (J46),1.00022684971625,"[-0.056159034170659934, 0.0345046622073102, 1.5751867945813094, 1.8637176747309785, -5.25643800760491, 0.4570206588979183, 2.2040801882279593]", (J46)
46,41,Gyroelongated Pentagonal Cupolarotunda (J47),1.000082754533641,"[-0.057794521789180105, -0.0235112168581766, 4.381797016675304, 6.251686938803727, 5.230833831996971, 3.566926984308893, 4.031246732232605]", (J47)
47,39,Gyroelongated Pentagonal Birotunda (J48),1.00239004306374,"[0.033046106449092706, -0.17262670686148068, 0.03528680309937837, 3.1288572454489856, -0.9104859536644647, 1.3654553514250714, 1.166251020176403]", (J48)
48,4,Augmented Triangular Prism (J49),1.0696860392794523,"[-0.1448313298550028, -0.04349570900270689, 3.1415926535908425, 5.759586531581722, 6.314641988031267, 4.74310139739179, 4.32515169272706]", (J49)
49,10,Biaugmented Triangular Prism (J50),1.12465167378873,"[0.09415530008123793, 0.011866520950931117, 4.869989691032054, 2.101655450691444, 1.4131444080019275, 2.417236539066161, 0.028124811117920725]", (J50)
50,87,Triaugmented Triangular Prism (J51),1.00811525277567,"[-0.08175831199786056, 0.11135826890814511, 1.258489031847852, 4.855090684820983, 0.6064046823967626, 0.6454713360629794, 0.027781512728194957]", (J51)
51,2,Augmented Pentagonal Prism (J52),1.03644936172427,"[0.09357914182903981, 0.2784573761349043, 3.1415926535870775, 5.9690260418179895, -4.276046473653677, 4.654351604391216, 5.6588475279322745]", (J52)
52,9,Biaugmented Pentagonal Prism (J53),1.0981204970308,"[-0.2137188704382268, 0.008031723421002737, 0.6005456197082963, 2.0237486358749472, -1.8128125242482018, 5.292828313790375, 3.1620727710125855]", (J53)
53,1,Augmented Hexagonal Prism (J54),1.09966821869412,"[0.01583760524871258, -0.03483436292151307, 3.1415926535897776, 0.5235987755985431, -0.5103301841161394, 1.6409178357013743, 2.586619371199266]", (J54)
54,59,Parabiaugmented Hexagonal Prism (J55),1.15161267737763,"[0.0, 0.0, 4.712388980384907, 2.0943951023929666, -3.141588340752326, 3.9242642785221813, -0.0011579632770781407]", (J55)
